mkn_segment_sentence,eng_segment_sentence,start,wav_files,audio_segment_path
,,,audio/audio_1.wav,
tadi kaka nonton ini Go.Spot ko sonde?,did you watch go spot this morning?,0:00:02,audio/audio_1.wav,
"ih, sonde.",no.,0:00:04,audio/audio_1.wav,
kotong pung listrik di sana mati terus.,our electricity was always off.,0:00:05,audio/audio_1.wav,
sumpah ni.,wow.,0:00:07,audio/audio_1.wav,
Oesapa kenapa tu...,why is in Oesapa...,0:00:07,audio/audio_1.wav,
ko listrik su mati terus.,the electricity always off?,0:00:08,audio/audio_1.wav,
e be nonton.,hmm I watched (tv),0:00:09,audio/audio_1.wav,
awih.,oh.,0:00:10,audio/audio_1.wav,
ada ini.,it is said.,0:00:11,audio/audio_1.wav,
bilang ini.,that.,0:00:12,audio/audio_1.wav,
Slank ada kena ni...,Slank was...,0:00:13,audio/audio_1.wav,
apa ini dari anggota dewan dong a?,is this by the legislatives?,0:00:15,audio/audio_1.wav,
ho e ko abis dia pung.,"yes, that’s beacuse.",0:00:17,audio/audio_1.wav,
lirik lagu tu kan.,their song’s lyrics.,0:00:18,audio/audio_1.wav,
menyudutkan anggota dewan to.,make the parlements.,0:00:20,audio/audio_1.wav,
xx tapi tau lai.,but I don’t know.,0:00:20,audio/audio_1.wav,
ko abis.,because.,0:00:22,audio/audio_1.wav,
anggota dewan selama ini tidor ko?,did the parlements sleep along the day?,0:00:24,audio/audio_1.wav,
ko abis.,because.,0:00:25,audio/audio_1.wav,
su begini lama ni.,this has been too long.,0:00:26,audio/audio_1.wav,
itu lagu su dari beberapa taon lalu xx.,that song has been composed several years ago.,0:00:27,audio/audio_1.wav,
ih be son suka anggota dewan dong.,hmm I don’t like the parlements.,0:00:29,audio/audio_1.wav,
talalu ba’iu mati.,they are realy behave.,0:00:30,audio/audio_1.wav,
model ke apa ko.,(they are) like ...,0:00:32,audio/audio_1.wav,
xx.,xx,0:00:32,audio/audio_1.wav,
sonde tau ju o.,I don’t know.,0:00:33,audio/audio_1.wav,
ko abis.,because.,0:00:33,audio/audio_1.wav,
klo dong tersinggung berarti dong bikin ju a?,"if they are offended, they do it too, aren’t they?",0:00:35,audio/audio_1.wav,
ho,yes.,0:00:35,audio/audio_1.wav,
ko itu kan hanya yang untuk orang tertentu sa to?,"because it is just for certain people, right?",0:00:37,audio/audio_1.wav,
yang betul-betul korupsi...,who really committed to coruption.,0:00:39,audio/audio_1.wav,
kalo sonde na sonde to?,"and if not, (they) don’t, do they?",0:00:40,audio/audio_1.wav,
"sonde, ko abis.","not, because",0:00:41,audio/audio_1.wav,
ini.,hm.,0:00:41,audio/audio_1.wav,
nonton dapat yang Ungu ko sonde?,did you watch (the news) about Ungu or not?,0:00:43,audio/audio_1.wav,
Ungu pi umroh.,they were go to umroh.,0:00:45,audio/audio_1.wav,
be sonde dapat.,I didn’t watch it.,0:00:46,audio/audio_1.wav,
soalnya be sonde telalu dengar bae-bae...,and I didn’t listen it carefully.,0:00:48,audio/audio_1.wav,
ko abis.,because.,0:00:49,audio/audio_1.wav,
be tadi pagi mau datang sini to.,"this morning, I would come here.",0:00:51,audio/audio_1.wav,
jadi...,so...,0:00:51,audio/audio_1.wav,
buru-buru.,really in hurry.,0:00:53,audio/audio_1.wav,
beta sampe Slank sa ju.,I just (watched it) until the (news) about Slank.,0:00:54,audio/audio_1.wav,
kotong pung listrik mati de.,the electricity in my place was off.,0:00:55,audio/audio_1.wav,
be son nonton lai.,I didn’t watch it anymore.,0:00:56,audio/audio_1.wav,
aih... sumpah ni.,hmm.,0:00:57,audio/audio_1.wav,
su mati dari kapan?,when was it off?,0:01:00,audio/audio_1.wav,
mati dari yang Go.Spot tu sampe be datang tu...,it was off when I watch Go Spot and until I came here...,0:01:00,audio/audio_1.wav,
sonde tau menyala-menyala.,(the electricity) was still not working,0:01:03,audio/audio_1.wav,
adih xx,wow.xx,0:01:06,audio/audio_1.wav,
lia do?,can you see it?,0:01:07,audio/audio_1.wav,
kotong di Oesapa ni heran mati terus.,"(I) wonder, (the electricity) in Oesapa is always off.",0:01:08,audio/audio_1.wav,
ma <orang> di bagian dalam kota sini sonde mati.,but (the electricity) downtown is not always off,0:01:11,audio/audio_1.wav,
e sonde.,hm no.,0:01:12,audio/audio_1.wav,
kotong di sini giliran.,in these town always get time for off.,0:01:13,audio/audio_1.wav,
ke kotong baru-baru di Sikumana tu mati na.,"as our place, in Sikumana (the electricity) was off the other day",0:01:14,audio/audio_1.wav,
hari...,on...,0:01:16,audio/audio_1.wav,
Senin.,Monday.,0:01:17,audio/audio_1.wav,
o Senin tu kotong mati lampu.,our electricity was off on Monday,0:01:18,audio/audio_1.wav,
ko yang hari Minggu beta datang sini.,and when I came here on Sunday,0:01:21,audio/audio_1.wav,
datang mo ambel bahan kuliah.,came to take the lecture material.,0:01:22,audio/audio_1.wav,
di Pa sini.,at Mr.Jhon’s place,0:01:24,audio/audio_1.wav,
Pa pung listrik ju mati.,"the electricity at his (place) was off, too.",0:01:24,audio/audio_1.wav,
hari minggu.,on Sunday.,0:01:26,audio/audio_1.wav,
,,,audio/audio_1.wav,
tadi kaka nonton ini Go.Spot ko sonde?,did you watch go spot this morning?,0:00:02,audio/audio_1.wav,
"ih, sonde.",no.,0:00:04,audio/audio_1.wav,
kotong pung listrik di sana mati terus.,our electricity was always off.,0:00:05,audio/audio_1.wav,
sumpah ni.,wow.,0:00:07,audio/audio_1.wav,
Oesapa kenapa tu...,why is in Oesapa...,0:00:07,audio/audio_1.wav,
ko listrik su mati terus.,the electricity always off?,0:00:08,audio/audio_1.wav,
e be nonton.,hmm I watched (tv),0:00:09,audio/audio_1.wav,
awih.,oh.,0:00:10,audio/audio_1.wav,
ada ini.,it is said.,0:00:11,audio/audio_1.wav,
bilang ini.,that.,0:00:12,audio/audio_1.wav,
Slank ada kena ni...,Slank was...,0:00:13,audio/audio_1.wav,
apa ini dari anggota dewan dong a?,is this by the legislatives?,0:00:15,audio/audio_1.wav,
ho e ko abis dia pung.,"yes, that’s beacuse.",0:00:17,audio/audio_1.wav,
lirik lagu tu kan.,their song’s lyrics.,0:00:18,audio/audio_1.wav,
menyudutkan anggota dewan to.,make the parlements.,0:00:20,audio/audio_1.wav,
xx tapi tau lai.,but I don’t know.,0:00:20,audio/audio_1.wav,
ko abis.,because.,0:00:22,audio/audio_1.wav,
anggota dewan selama ini tidor ko?,did the parlements sleep along the day?,0:00:24,audio/audio_1.wav,
ko abis.,because.,0:00:25,audio/audio_1.wav,
su begini lama ni.,this has been too long.,0:00:26,audio/audio_1.wav,
itu lagu su dari beberapa taon lalu xx.,that song has been composed several years ago.,0:00:27,audio/audio_1.wav,
ih be son suka anggota dewan dong.,hmm I don’t like the parlements.,0:00:29,audio/audio_1.wav,
talalu ba’iu mati.,they are realy behave.,0:00:30,audio/audio_1.wav,
model ke apa ko.,(they are) like ...,0:00:32,audio/audio_1.wav,
xx.,xx,0:00:32,audio/audio_1.wav,
sonde tau ju o.,I don’t know.,0:00:33,audio/audio_1.wav,
ko abis.,because.,0:00:33,audio/audio_1.wav,
klo dong tersinggung berarti dong bikin ju a?,"if they are offended, they do it too, aren’t they?",0:00:35,audio/audio_1.wav,
ho,yes.,0:00:35,audio/audio_1.wav,
ko itu kan hanya yang untuk orang tertentu sa to?,"because it is just for certain people, right?",0:00:37,audio/audio_1.wav,
yang betul-betul korupsi...,who really committed to coruption.,0:00:39,audio/audio_1.wav,
kalo sonde na sonde to?,"and if not, (they) don’t, do they?",0:00:40,audio/audio_1.wav,
"sonde, ko abis.","not, because",0:00:41,audio/audio_1.wav,
ini.,hm.,0:00:41,audio/audio_1.wav,
nonton dapat yang Ungu ko sonde?,did you watch (the news) about Ungu or not?,0:00:43,audio/audio_1.wav,
Ungu pi umroh.,they were go to umroh.,0:00:45,audio/audio_1.wav,
be sonde dapat.,I didn’t watch it.,0:00:46,audio/audio_1.wav,
soalnya be sonde telalu dengar bae-bae...,and I didn’t listen it carefully.,0:00:48,audio/audio_1.wav,
ko abis.,because.,0:00:49,audio/audio_1.wav,
be tadi pagi mau datang sini to.,"this morning, I would come here.",0:00:51,audio/audio_1.wav,
jadi...,so...,0:00:51,audio/audio_1.wav,
buru-buru.,really in hurry.,0:00:53,audio/audio_1.wav,
beta sampe Slank sa ju.,I just (watched it) until the (news) about Slank.,0:00:54,audio/audio_1.wav,
kotong pung listrik mati de.,the electricity in my place was off.,0:00:55,audio/audio_1.wav,
be son nonton lai.,I didn’t watch it anymore.,0:00:56,audio/audio_1.wav,
aih... sumpah ni.,hmm.,0:00:57,audio/audio_1.wav,
su mati dari kapan?,when was it off?,0:01:00,audio/audio_1.wav,
mati dari yang Go.Spot tu sampe be datang tu...,it was off when I watch Go Spot and until I came here...,0:01:00,audio/audio_1.wav,
sonde tau menyala-menyala.,(the electricity) was still not working,0:01:03,audio/audio_1.wav,
adih xx,wow.xx,0:01:06,audio/audio_1.wav,
lia do?,can you see it?,0:01:07,audio/audio_1.wav,
kotong di Oesapa ni heran mati terus.,"(I) wonder, (the electricity) in Oesapa is always off.",0:01:08,audio/audio_1.wav,
ma <orang> di bagian dalam kota sini sonde mati.,but (the electricity) downtown is not always off,0:01:11,audio/audio_1.wav,
e sonde.,hm no.,0:01:12,audio/audio_1.wav,
kotong di sini giliran.,in these town always get time for off.,0:01:13,audio/audio_1.wav,
ke kotong baru-baru di Sikumana tu mati na.,"as our place, in Sikumana (the electricity) was off the other day",0:01:14,audio/audio_1.wav,
hari...,on...,0:01:16,audio/audio_1.wav,
Senin.,Monday.,0:01:17,audio/audio_1.wav,
o Senin tu kotong mati lampu.,our electricity was off on Monday,0:01:18,audio/audio_1.wav,
ko yang hari Minggu beta datang sini.,and when I came here on Sunday,0:01:21,audio/audio_1.wav,
datang mo ambel bahan kuliah.,came to take the lecture material.,0:01:22,audio/audio_1.wav,
di Pa sini.,at Mr.Jhon’s place,0:01:24,audio/audio_1.wav,
Pa pung listrik ju mati.,"the electricity at his (place) was off, too.",0:01:24,audio/audio_1.wav,
hari minggu.,on Sunday.,0:01:26,audio/audio_1.wav,
jadi hari minggu bagian sini...,"so on Sunday, it was off here.",0:01:27,audio/audio_1.wav,
Tofa.,Tofa.,0:01:28,audio/audio_1.wav,
habis.,and then.,0:01:30,audio/audio_1.wav,
Senin tu kotong dari atas.,on Monday when we came (the electricity was off),0:01:30,audio/audio_1.wav,
itu hari bagiliran.,"that time, it was in turn",0:01:31,audio/audio_1.wav,
ma tau.,but I didn’t know why.,0:01:32,audio/audio_1.wav,
sekarang maen mati terus tiap hari tu pasti.,"now it is always off, every day it is certainly so .",0:01:34,audio/audio_1.wav,
jam sekitar...,it was about...,0:01:35,audio/audio_1.wav,
jam.,at.,0:01:37,audio/audio_1.wav,
pagi tu sekitar jam delapan lewat.,about 08.00 in the morning.,0:01:38,audio/audio_1.wav,
nanti son lama dia menyala lai.,and latter it was on again.,0:01:42,audio/audio_1.wav,
abis itu malam ju bagitu.,and that night was also so.,0:01:42,audio/audio_1.wav,
malam ju nanti.,later at night,0:01:44,audio/audio_1.wav,
jam enam tu dia mati.,at 06.00 the electricity was off.,0:01:46,audio/audio_1.wav,
jam sembilan baru dia menyala.,and then at 09.00 p.m it was on,0:01:48,audio/audio_1.wav,
adiii kaka.,oh yeah.,0:01:50,audio/audio_1.wav,
su dua hari ni kan.,it has been two days.,0:01:51,audio/audio_1.wav,
beta de Nur terus to.,I was with Nur.,0:01:52,audio/audio_1.wav,
jadi.,because.,0:01:53,audio/audio_1.wav,
be kan son bisa bawa motor.,I couldn’t ride the motorcycle.,0:01:54,audio/audio_1.wav,
be pung kaka kan ada.,my sister was in.,0:01:55,audio/audio_1.wav,
dia dapat proyek.,she got a project.,0:01:55,audio/audio_1.wav,
maksudnya kerja di LSM to,I mean (she) is working in NGO.,0:01:56,audio/audio_1.wav,
jadi su dua hari ni.,so for these two days.,0:02:00,audio/audio_1.wav,
pi kantor terus tanda tangan kontrak.,(she) always went to office to sign the agreement.,0:02:01,audio/audio_1.wav,
jadi dia yang pake motor.,so she was drive the motorcycle.,0:02:03,audio/audio_1.wav,
jadi kamaren deng kemaren dulu beta kan di Nur to.,yesterday and the day before yesterday I was with Nur.,0:02:08,audio/audio_1.wav,
beta tunggu dia di Glory.,I waited for her at Glory,0:02:10,audio/audio_1.wav,
be bawa be pung helem sendiri.,I brought my own helmet.,0:02:10,audio/audio_1.wav,
na jadi yang kemarin ni.,so yesterday...,0:02:12,audio/audio_1.wav,
tukang mas ni.,the gold smith,0:02:14,audio/audio_1.wav,
eh kan.,that.,0:02:16,audio/audio_1.wav,
di samping apotik tu kan pegadaian to.,beside the pharmacy there is a pawning service,0:02:17,audio/audio_1.wav,
hoo.,yeah.,0:02:20,audio/audio_1.wav,
na biasa ni kan.,"well, usually",0:02:22,audio/audio_1.wav,
di pegadaian-pegadaian tu kan.,in pawning service,0:02:22,audio/audio_1.wav,
ada...,there is ...,0:02:22,audio/audio_1.wav,
apa su dia pung nama?,what is it called?,0:02:23,audio/audio_1.wav,
ini...,hmm...,0:02:25,audio/audio_1.wav,
0.,0,0:02:27,audio/audio_1.wav,
apa su di pung nama?,what is it called?,0:02:27,audio/audio_1.wav,
,,,audio/audio_1.wav,
tadi kaka nonton ini Go.Spot ko sonde?,did you watch go spot this morning?,0:00:02,audio/audio_1.wav,
"ih, sonde.",no.,0:00:04,audio/audio_1.wav,
kotong pung listrik di sana mati terus.,our electricity was always off.,0:00:05,audio/audio_1.wav,
sumpah ni.,wow.,0:00:07,audio/audio_1.wav,
Oesapa kenapa tu...,why is in Oesapa...,0:00:07,audio/audio_1.wav,
ko listrik su mati terus.,the electricity always off?,0:00:08,audio/audio_1.wav,
e be nonton.,hmm I watched (tv),0:00:09,audio/audio_1.wav,
awih.,oh.,0:00:10,audio/audio_1.wav,
ada ini.,it is said.,0:00:11,audio/audio_1.wav,
bilang ini.,that.,0:00:12,audio/audio_1.wav,
Slank ada kena ni...,Slank was...,0:00:13,audio/audio_1.wav,
apa ini dari anggota dewan dong a?,is this by the legislatives?,0:00:15,audio/audio_1.wav,
ho e ko abis dia pung.,"yes, that’s beacuse.",0:00:17,audio/audio_1.wav,
lirik lagu tu kan.,their song’s lyrics.,0:00:18,audio/audio_1.wav,
menyudutkan anggota dewan to.,make the parlements.,0:00:20,audio/audio_1.wav,
xx tapi tau lai.,but I don’t know.,0:00:20,audio/audio_1.wav,
ko abis.,because.,0:00:22,audio/audio_1.wav,
anggota dewan selama ini tidor ko?,did the parlements sleep along the day?,0:00:24,audio/audio_1.wav,
ko abis.,because.,0:00:25,audio/audio_1.wav,
su begini lama ni.,this has been too long.,0:00:26,audio/audio_1.wav,
itu lagu su dari beberapa taon lalu xx.,that song has been composed several years ago.,0:00:27,audio/audio_1.wav,
ih be son suka anggota dewan dong.,hmm I don’t like the parlements.,0:00:29,audio/audio_1.wav,
talalu ba’iu mati.,they are realy behave.,0:00:30,audio/audio_1.wav,
model ke apa ko.,(they are) like ...,0:00:32,audio/audio_1.wav,
xx.,xx,0:00:32,audio/audio_1.wav,
sonde tau ju o.,I don’t know.,0:00:33,audio/audio_1.wav,
ko abis.,because.,0:00:33,audio/audio_1.wav,
klo dong tersinggung berarti dong bikin ju a?,"if they are offended, they do it too, aren’t they?",0:00:35,audio/audio_1.wav,
ho,yes.,0:00:35,audio/audio_1.wav,
ko itu kan hanya yang untuk orang tertentu sa to?,"because it is just for certain people, right?",0:00:37,audio/audio_1.wav,
yang betul-betul korupsi...,who really committed to coruption.,0:00:39,audio/audio_1.wav,
kalo sonde na sonde to?,"and if not, (they) don’t, do they?",0:00:40,audio/audio_1.wav,
"sonde, ko abis.","not, because",0:00:41,audio/audio_1.wav,
ini.,hm.,0:00:41,audio/audio_1.wav,
nonton dapat yang Ungu ko sonde?,did you watch (the news) about Ungu or not?,0:00:43,audio/audio_1.wav,
Ungu pi umroh.,they were go to umroh.,0:00:45,audio/audio_1.wav,
be sonde dapat.,I didn’t watch it.,0:00:46,audio/audio_1.wav,
soalnya be sonde telalu dengar bae-bae...,and I didn’t listen it carefully.,0:00:48,audio/audio_1.wav,
ko abis.,because.,0:00:49,audio/audio_1.wav,
be tadi pagi mau datang sini to.,"this morning, I would come here.",0:00:51,audio/audio_1.wav,
jadi...,so...,0:00:51,audio/audio_1.wav,
buru-buru.,really in hurry.,0:00:53,audio/audio_1.wav,
beta sampe Slank sa ju.,I just (watched it) until the (news) about Slank.,0:00:54,audio/audio_1.wav,
kotong pung listrik mati de.,the electricity in my place was off.,0:00:55,audio/audio_1.wav,
be son nonton lai.,I didn’t watch it anymore.,0:00:56,audio/audio_1.wav,
aih... sumpah ni.,hmm.,0:00:57,audio/audio_1.wav,
su mati dari kapan?,when was it off?,0:01:00,audio/audio_1.wav,
mati dari yang Go.Spot tu sampe be datang tu...,it was off when I watch Go Spot and until I came here...,0:01:00,audio/audio_1.wav,
sonde tau menyala-menyala.,(the electricity) was still not working,0:01:03,audio/audio_1.wav,
adih xx,wow.xx,0:01:06,audio/audio_1.wav,
lia do?,can you see it?,0:01:07,audio/audio_1.wav,
kotong di Oesapa ni heran mati terus.,"(I) wonder, (the electricity) in Oesapa is always off.",0:01:08,audio/audio_1.wav,
ma <orang> di bagian dalam kota sini sonde mati.,but (the electricity) downtown is not always off,0:01:11,audio/audio_1.wav,
e sonde.,hm no.,0:01:12,audio/audio_1.wav,
kotong di sini giliran.,in these town always get time for off.,0:01:13,audio/audio_1.wav,
ke kotong baru-baru di Sikumana tu mati na.,"as our place, in Sikumana (the electricity) was off the other day",0:01:14,audio/audio_1.wav,
hari...,on...,0:01:16,audio/audio_1.wav,
Senin.,Monday.,0:01:17,audio/audio_1.wav,
o Senin tu kotong mati lampu.,our electricity was off on Monday,0:01:18,audio/audio_1.wav,
ko yang hari Minggu beta datang sini.,and when I came here on Sunday,0:01:21,audio/audio_1.wav,
datang mo ambel bahan kuliah.,came to take the lecture material.,0:01:22,audio/audio_1.wav,
di Pa sini.,at Mr.Jhon’s place,0:01:24,audio/audio_1.wav,
Pa pung listrik ju mati.,"the electricity at his (place) was off, too.",0:01:24,audio/audio_1.wav,
hari minggu.,on Sunday.,0:01:26,audio/audio_1.wav,
jadi hari minggu bagian sini...,"so on Sunday, it was off here.",0:01:27,audio/audio_1.wav,
Tofa.,Tofa.,0:01:28,audio/audio_1.wav,
habis.,and then.,0:01:30,audio/audio_1.wav,
Senin tu kotong dari atas.,on Monday when we came (the electricity was off),0:01:30,audio/audio_1.wav,
itu hari bagiliran.,"that time, it was in turn",0:01:31,audio/audio_1.wav,
ma tau.,but I didn’t know why.,0:01:32,audio/audio_1.wav,
sekarang maen mati terus tiap hari tu pasti.,"now it is always off, every day it is certainly so .",0:01:34,audio/audio_1.wav,
jam sekitar...,it was about...,0:01:35,audio/audio_1.wav,
jam.,at.,0:01:37,audio/audio_1.wav,
pagi tu sekitar jam delapan lewat.,about 08.00 in the morning.,0:01:38,audio/audio_1.wav,
nanti son lama dia menyala lai.,and latter it was on again.,0:01:42,audio/audio_1.wav,
abis itu malam ju bagitu.,and that night was also so.,0:01:42,audio/audio_1.wav,
malam ju nanti.,later at night,0:01:44,audio/audio_1.wav,
jam enam tu dia mati.,at 06.00 the electricity was off.,0:01:46,audio/audio_1.wav,
jam sembilan baru dia menyala.,and then at 09.00 p.m it was on,0:01:48,audio/audio_1.wav,
adiii kaka.,oh yeah.,0:01:50,audio/audio_1.wav,
su dua hari ni kan.,it has been two days.,0:01:51,audio/audio_1.wav,
beta de Nur terus to.,I was with Nur.,0:01:52,audio/audio_1.wav,
jadi.,because.,0:01:53,audio/audio_1.wav,
be kan son bisa bawa motor.,I couldn’t ride the motorcycle.,0:01:54,audio/audio_1.wav,
be pung kaka kan ada.,my sister was in.,0:01:55,audio/audio_1.wav,
dia dapat proyek.,she got a project.,0:01:55,audio/audio_1.wav,
maksudnya kerja di LSM to,I mean (she) is working in NGO.,0:01:56,audio/audio_1.wav,
jadi su dua hari ni.,so for these two days.,0:02:00,audio/audio_1.wav,
pi kantor terus tanda tangan kontrak.,(she) always went to office to sign the agreement.,0:02:01,audio/audio_1.wav,
jadi dia yang pake motor.,so she was drive the motorcycle.,0:02:03,audio/audio_1.wav,
jadi kamaren deng kemaren dulu beta kan di Nur to.,yesterday and the day before yesterday I was with Nur.,0:02:08,audio/audio_1.wav,
beta tunggu dia di Glory.,I waited for her at Glory,0:02:10,audio/audio_1.wav,
be bawa be pung helem sendiri.,I brought my own helmet.,0:02:10,audio/audio_1.wav,
na jadi yang kemarin ni.,so yesterday...,0:02:12,audio/audio_1.wav,
tukang mas ni.,the gold smith,0:02:14,audio/audio_1.wav,
eh kan.,that.,0:02:16,audio/audio_1.wav,
di samping apotik tu kan pegadaian to.,beside the pharmacy there is a pawning service,0:02:17,audio/audio_1.wav,
hoo.,yeah.,0:02:20,audio/audio_1.wav,
na biasa ni kan.,"well, usually",0:02:22,audio/audio_1.wav,
di pegadaian-pegadaian tu kan.,in pawning service,0:02:22,audio/audio_1.wav,
ada...,there is ...,0:02:22,audio/audio_1.wav,
apa su dia pung nama?,what is it called?,0:02:23,audio/audio_1.wav,
ini...,hmm...,0:02:25,audio/audio_1.wav,
0.,0,0:02:27,audio/audio_1.wav,
