mkn_segment_sentence,eng_segment_sentence,start,wav_files,audio_segment_path
apa su di pung nama?,what is it called?,0:02:27,audio/audio_1.wav,
apa?,what?,0:02:27,audio/audio_1.wav,
ko lu ju pikir-pikir dari tadi.,you think about it for so long.,0:02:30,audio/audio_1.wav,
ihh!,hmm.,0:02:30,audio/audio_1.wav,
tanta-tanta ni.,some women.,0:02:30,audio/audio_1.wav,
yang tunggu orang mau pi gade barang tu.,who wait for the people pawning their goods.,0:02:32,audio/audio_1.wav,
oo be tau.,yeah I see.,0:02:34,audio/audio_1.wav,
be ju bangun jalan xxx.,then I left,0:02:36,audio/audio_1.wav,
ini tanta su lia deng beta.,the woman looked at me.,0:02:38,audio/audio_1.wav,
be pikir dia lia apa?,I thought what she looked at,0:02:38,audio/audio_1.wav,
be pung sampe di depan Glory ni.,when I arrived at the front of the Glory.,0:02:41,audio/audio_1.wav,
dia datang ikut deng beta o.,she came to me.,0:02:42,audio/audio_1.wav,
be pikir ni tanta su kenapa ni datang ikut beta?,I was thinking of why the woman came to me?,0:02:43,audio/audio_1.wav,
dia datang.,she came.,0:02:46,audio/audio_1.wav,
ju bilang begini di beta.,and said to me.,0:02:48,audio/audio_1.wav,
"nona jual mas, ko?",did you sell your gold?,0:02:50,audio/audio_1.wav,
ya ampun.,oh my God.,0:02:51,audio/audio_1.wav,
0.,0.,0:02:51,audio/audio_1.wav,
ih sonde tanta.,no.,0:02:52,audio/audio_1.wav,
be son jual mas.,I didn’t sell gold.,0:02:54,audio/audio_1.wav,
sampe beta ni xx.,then I xx.,0:02:54,audio/audio_1.wav,
beta.,I was.,0:02:55,audio/audio_1.wav,
jalan deng Nur.,with Nur.,0:02:55,audio/audio_1.wav,
Nur datang,Nur came.,0:02:57,audio/audio_1.wav,
be bilang deng Nur.,and I said to Nur.,0:03:00,audio/audio_1.wav,
we Nur.,Nur.,0:03:01,audio/audio_1.wav,
"be pung tampang ke orang jual mas, ko?",am I like the people selling gold?,0:03:02,audio/audio_1.wav,
xx.,xx.,0:03:03,audio/audio_1.wav,
terus.,then.,0:03:04,audio/audio_1.wav,
trus.,and then.,0:03:06,audio/audio_1.wav,
tadi pagi lai ni.,and this morning.,0:03:07,audio/audio_1.wav,
be turun di situ.,I arrived there.,0:03:08,audio/audio_1.wav,
be baru turun menyebrang.,and when I cross the street.,0:03:10,audio/audio_1.wav,
itu tanta su bilang begini.,the woman said.,0:03:11,audio/audio_1.wav,
‘aih ini nona yang kemaren ni’.,‘this is the girl (that I met) yesterday’.,0:03:12,audio/audio_1.wav,
"‘nona jual mas, ko?’",‘do you sell gold?’.,0:03:13,audio/audio_1.wav,
he.,hmm.,0:03:14,audio/audio_1.wav,
ulang lai?,did (she say it) again?,0:03:16,audio/audio_1.wav,
be bilang ‘tanta sonde’.,and I said ‘no.,0:03:16,audio/audio_1.wav,
tanta be son jual mas.,‘I don’t sell gold’.,0:03:16,audio/audio_1.wav,
jadi be berdiri diam-diam su di situ.,so I just stand and silent there.,0:03:16,audio/audio_1.wav,
be dalam hati.,and I think.,0:03:16,audio/audio_1.wav,
nenek moyang ni.,oh my god.,0:03:17,audio/audio_1.wav,
lu pikir be ada jual mas di sini?,‘do you think that I am selling gold here?’,0:03:19,audio/audio_1.wav,
be jengkel mati.,I was annoying,0:03:19,audio/audio_1.wav,
tau kenapa dong tunggu-tunggu begitu.,I din’t know why they always wait like that.,0:03:22,audio/audio_1.wav,
mungkin dong tunggu supaya dong yang dapat...,maybe they wait so that they can get...,0:03:24,audio/audio_1.wav,
ini.,hmm.,0:03:31,audio/audio_1.wav,
ke orang bilang...,like what people call...,0:03:32,audio/audio_1.wav,
istilah ‘calo’ tu.,the term ‘calo’.,0:03:33,audio/audio_1.wav,
ih be sonde tau.,maybe.,0:03:35,audio/audio_1.wav,
bisa sa begitu.,it can be so,0:03:35,audio/audio_1.wav,
mungkin karena itu ju kaka.,"perhaps because of that, friend",0:03:36,audio/audio_1.wav,
ini sekarang.,that now,0:03:38,audio/audio_1.wav,
be pung kawan dong bilang.,my friends said.,0:03:39,audio/audio_1.wav,
ini...,mmm...,0:03:41,audio/audio_1.wav,
mas kan nae harga to.,"gold’s price is increasing, right?",0:03:42,audio/audio_1.wav,
jadi...,and...,0:03:43,audio/audio_1.wav,
na trus bilang,they said again that.,0:03:44,audio/audio_1.wav,
mas yang dong jual yang sekarang yang baru ni.,the gold that they sell nowdays is.,0:03:45,audio/audio_1.wav,
bilangnya...,(they) said...,0:03:48,audio/audio_1.wav,
dia pung kadar mas tu,its quality is...,0:03:49,audio/audio_1.wav,
su kurang.,already decreasing.,0:03:51,audio/audio_1.wav,
ke sonde sama...,(it is) not the same as ...,0:03:52,audio/audio_1.wav,
son sama ke yang dulu lai.,not the same as the gold in old days.,0:03:53,audio/audio_1.wav,
kaya yang mas-mas dulu dong.,as the gold in old times.,0:03:53,audio/audio_1.wav,
jadi dong ke tanya.,so they asked.,0:03:55,audio/audio_1.wav,
cegat-cegat memang orang sebelum masuk pegadaian tu.,the people before they came in to the pawnshop.,0:03:57,audio/audio_1.wav,
supaya itu barang mas.,so that the gold ...,0:04:00,audio/audio_1.wav,
jatoh di dorang.,goes to them,0:04:02,audio/audio_1.wav,
kan kalo bagitu kan.,so if it is so,0:04:03,audio/audio_1.wav,
ke buang putus su to.,to pay cash.,0:04:06,audio/audio_1.wav,
hmm.,hmm.,0:04:07,audio/audio_1.wav,
buang putus jadi ke nanti itu orang sonde bisa tebus dia pung barang lai.,pay cash that later people cannot pay back their gold anymore.,0:04:07,audio/audio_1.wav,
ko abis dong su ame to.,because they have bought it,0:04:11,audio/audio_1.wav,
ma ame ju dong...,but even though they bought it...,0:04:13,audio/audio_1.wav,
ame deng harga di bawa harga toko.,bought below the standard price,0:04:15,audio/audio_1.wav,
na orang son tau.,but people don’t know that.,0:04:18,audio/audio_1.wav,
orang pikir sa...,people just think that...,0:04:19,audio/audio_1.wav,
dong butu doi ada yang kasi doi.,"they need money, and someone gives (them) money.",0:04:20,audio/audio_1.wav,
na jual lepas su.,just sell it.,0:04:22,audio/audio_1.wav,
son tau hal lai.,(they) don’t know.,0:04:23,audio/audio_1.wav,
dong biasa bagitu tu.,they usually do so.,0:04:24,audio/audio_1.wav,
dong te’e-te’e ini orang kampung dong.,they usually catch the laymen,0:04:26,audio/audio_1.wav,
yang son tau-tau betul begitu.,that don’t know anything about it.,0:04:28,audio/audio_1.wav,
itu su.,that’s it.,0:04:30,audio/audio_1.wav,
ko abis.,because,0:04:30,audio/audio_1.wav,
biasa sa be biasa lewat klo pi kampus tu.,I usually pass through (that place) when going to campus.,0:04:32,audio/audio_1.wav,
ada tanta-tanta satu badan besar e.,there is a fat woman.,0:04:33,audio/audio_1.wav,
dia pung badan pung besar.,she has fat body,0:04:35,audio/audio_1.wav,
yang.,that,0:04:36,audio/audio_1.wav,
yang tepa sa lu tu orang mana?,where does the woman who catch you come from?,0:04:38,audio/audio_1.wav,
e sonde tau.,hmm I don’t know.,0:04:38,audio/audio_1.wav,
tanta satu e.,a woman.,0:04:40,audio/audio_1.wav,
dia pung rambut...,her hair...,0:04:41,audio/audio_1.wav,
dia pung badan kici ko besar?,is she thin or fat?,0:04:42,audio/audio_1.wav,
e badan ju lumayan.,hmm she is a bit fat.,0:04:43,audio/audio_1.wav,
dia pung badan xx we...,her body xx ...,0:04:44,audio/audio_1.wav,
gaya abis.,stylish,0:04:45,audio/audio_1.wav,
ada duduk sa...,and just sit...,0:04:46,audio/audio_1.wav,
ada lai maen duduk di pinggir pegadaian situ.,just sit beside the pawnshop.,0:04:48,audio/audio_1.wav,
tinggal tunggu orang yang datang dan pergi.,just wait for the people come and go,0:04:50,audio/audio_1.wav,
tapi...,but...,0:04:51,audio/audio_1.wav,
tau be baru dapa liat itu tanta.,I’ve just seen the woman.,0:04:53,audio/audio_1.wav,
tanta yang satu biasa dapat lia tu.,the woman who I always saw.,0:04:55,audio/audio_1.wav,
biasa dia duduk depan...,she usually sit in the front of...,0:04:56,audio/audio_1.wav,
dekat-dekat pintu pegadaian situ.,near the pawnshop door.,0:04:58,audio/audio_1.wav,
dia duduk situ...,she sat there...,0:05:00,audio/audio_1.wav,
baru.,then.,0:05:01,audio/audio_1.wav,
dia mungkin tunggu orang di situ sa.,perhaps she just wait for people there.,0:05:03,audio/audio_1.wav,
son sama ke ni tanta yang satu ni.,not as the woman.,0:05:05,audio/audio_1.wav,
orang pung datang dia su lari kajar tu orang.,when people come she runs to chase them.,0:05:07,audio/audio_1.wav,
ma ini tanta yang be biasa liat ni...,but the woman that I always see...,0:05:09,audio/audio_1.wav,
dia pung gantong barang mas di dia pung badan pung banyak.,she hang up many gold acsessories on her body,0:05:11,audio/audio_1.wav,
kira-kira ini...,(I) guess this...,0:05:12,audio/audio_1.wav,
tau itu yang berapa gram be su son tau lai.,I don’t know how many grams that she wear.,0:05:13,audio/audio_1.wav,
ma semua-semua lengkap abis.,but it is complete.,0:05:15,audio/audio_1.wav,
kira-kira ini...,(I) guess this ...,0:05:17,audio/audio_1.wav,
dong bikin begitu tu.,they do so.,0:05:19,audio/audio_1.wav,
itu pegawai.,and the employee.,0:05:21,audio/audio_1.wav,
"pokoknya karyawan pegadaian dong deng dia pung kepala dong, tau ko sonde?","basically the pawnshop staff and their leaders, do you know?",0:05:25,audio/audio_1.wav,
e pasti dong tau kan.,"of course they know, right?",0:05:27,audio/audio_1.wav,
paling kan..,mostly,0:05:28,audio/audio_1.wav,
beta ju rasa ke ada kerjasama.,I also think that there is a cooperation.,0:05:30,audio/audio_1.wav,
ih be sonde tau.,hmm I don’t know.,0:05:32,audio/audio_1.wav,
paling kan.,mostly.,0:05:33,audio/audio_1.wav,
tegantung to.,it is depend on.,0:05:34,audio/audio_1.wav,
dia pung.,it’s.,0:05:35,audio/audio_1.wav,
maksudnya...,hmm I mean...,0:05:36,audio/audio_1.wav,
dari tu orang sendiri.,the person him/herself,0:05:37,audio/audio_1.wav,
kalo memang dia mau jual di...,if s/he indeed wants to sell the gold to...,0:05:39,audio/audio_1.wav,
"itu orang yang di luar, ya","the person outside, ya",0:05:41,audio/audio_1.wav,
terserah dia.,hmm it’s depend on him/her,0:05:42,audio/audio_1.wav,
kalo memang dia betul-betul butu uang dan mungkin.,if s/he really needs money and perhaps.,0:05:44,audio/audio_1.wav,
dalam waktu yang su ditentukan dia su sonde bisa...,"at certain times, s/he can’t...",0:05:46,audio/audio_1.wav,
pi tebus na.,pay it back.,0:05:47,audio/audio_1.wav,
berarti...,it means that...,0:05:49,audio/audio_1.wav,
lepas su to dia kasi di itu orang su to.,let she gives it to that person.,0:05:51,audio/audio_1.wav,
ya.,yes.,0:05:52,audio/audio_1.wav,
kira-kira dia tau dari mana o?,how does she know that?,0:05:54,audio/audio_1.wav,
ini apa...,what is it ...,0:05:55,audio/audio_1.wav,
ini mas ini ini mas.,this gold is.,0:05:57,audio/audio_1.wav,
dia punya kadar masih tinggi ko su lemah?.,does the gold still have good quality or not ?,0:05:59,audio/audio_1.wav,
sonde ju.,not really.,0:06:01,audio/audio_1.wav,
ko abis.,but.,0:06:03,audio/audio_1.wav,
ini.,this.,0:06:04,audio/audio_1.wav,
apa na.,what is it.,0:06:05,audio/audio_1.wav,
kan harga mas su nae na.,as the price of the gold already increased.,0:06:07,audio/audio_1.wav,
orang.,people,0:06:08,audio/audio_1.wav,
mungkin.,maybe.,0:06:10,audio/audio_1.wav,
be ju son tau e.,I don’t understand either.,0:06:12,audio/audio_1.wav,
ato mungkin memang itu orang dong tukang timbun emas,or maybe they are gold collector.,0:06:14,audio/audio_1.wav,
be ju onde tau.,I don’t know either.,0:06:15,audio/audio_1.wav,
ko abis.,but.,0:06:16,audio/audio_1.wav,
dong.,they.,0:06:17,audio/audio_1.wav,
tiap hari sa duduk jaga tu pegadaian ke kaya jaga apa ko...,(they) are just sitting in pawnshop everyday like ...,0:06:19,audio/audio_1.wav,
"ke sonde ada kerja laen lai, ko?.",isn’t there no other job?,0:06:21,audio/audio_1.wav,
0.,0.,0:06:24,audio/audio_1.wav,
tiap hari duduk jaga tu pegadaian.,everyday guarding that pawnshop.,0:06:25,audio/audio_1.wav,
"o mungkin itu sonde ada kerja, memang.",or maybe it is true that no other job.,0:06:26,audio/audio_1.wav,
o dia pung kerja jaga pegadaian tunggu-tunggu yang jual mas.,his job is guard the pawnshop and waiting for someone who sell the gold,0:06:29,audio/audio_1.wav,
"aih, parah mati!","wow, so bad!",0:06:31,audio/audio_1.wav,
e be su pamalas.,I am lazy already.,0:06:33,audio/audio_1.wav,
sampe be...,until I am...,0:06:34,audio/audio_1.wav,
aduh...,auch...,0:06:35,audio/audio_1.wav,
alamat besok-besok ni kalo bajanji deng orang jangan di depan Glory.,"next time, don’t make any appointment in front of Glory.",0:06:38,audio/audio_1.wav,
kalo pagi-pagi...,if early in the morning...,0:06:39,audio/audio_1.wav,
alamat dapa kejar lai.,will get catch up again.,0:06:40,audio/audio_1.wav,
"tanya, ada jual mas ko?","(she) asking, are you selling the gold?",0:06:42,audio/audio_1.wav,
be pung tampang...,my face..,0:06:43,audio/audio_1.wav,
tampang jual mas?,is(my face)gold seller’s face?,0:06:45,audio/audio_1.wav,
e ko lu pung kaka kerja dimana selama ini?,where is your sister’s job up till now?,0:06:47,audio/audio_1.wav,
sonde.,no.,0:06:48,audio/audio_1.wav,
be pung kaka sulung kan.,my oldest sister.,0:06:50,audio/audio_1.wav,
dia baru abis taon lalu to.,she just finished a year ago.,0:06:51,audio/audio_1.wav,
oo.,oo.,0:06:51,audio/audio_1.wav,
jadi pas abis deng abis.,so after that.,0:06:52,audio/audio_1.wav,
kebetulan baru-baru...,by recently...,0:06:54,audio/audio_1.wav,
baca...,(she) read...,0:06:55,audio/audio_1.wav,
Pos Kupang.,Kupang Post.,0:06:57,audio/audio_1.wav,
ini.,this.,0:06:58,audio/audio_1.wav,
Pansimas ni.,Pansimas.,0:07:00,audio/audio_1.wav,
itu LSM kalo be onde salah dengar.,it’s NGO if I am not mishear.,0:07:02,audio/audio_1.wav,
ha dia lai ada butu.,need (some employers).,0:07:03,audio/audio_1.wav,
kebetulan butu.,accidentally need some.,0:07:04,audio/audio_1.wav,
tenaga to?.,"staff, right?",0:07:05,audio/audio_1.wav,
na kebetulan be pung kaka pung jurusan.,"fortunately, my sister’s majors.",0:07:07,audio/audio_1.wav,
perlu teknik sipil to.,need civil engineering.,0:07:08,audio/audio_1.wav,
kan dia teknik sipil.,(she was) civil engineering.,0:07:10,audio/audio_1.wav,
jadi.,so.,0:07:11,audio/audio_1.wav,
dia pi daftar su.,she is going to enlisted.,0:07:12,audio/audio_1.wav,
ikut tes.,join the test.,0:07:13,audio/audio_1.wav,
ikut tes.,join the test.,0:07:14,audio/audio_1.wav,
pelatihan.,training.,0:07:14,audio/audio_1.wav,
lulus.,pass a test.,0:07:15,audio/audio_1.wav,
lulus ju.,pass.,0:07:16,audio/audio_1.wav,
dia bawa motor ju lu sendiri.,she was driving the motorcycle then you are alone.,0:07:17,audio/audio_1.wav,
jalan kaki su.,just take a walk.,0:07:18,audio/audio_1.wav,
e ko abis mau karmana lai.,"well,what else again.",0:07:19,audio/audio_1.wav,
yang motor yang satu.,the other one motorcycle.,0:07:20,audio/audio_1.wav,
be pung ade laki-laki punya na.,(that motorcycle) is my brother’s.,0:07:22,audio/audio_1.wav,
oo.,oo.,0:07:23,audio/audio_1.wav,
pi ko cari bekelai?,want to fight?,0:07:24,audio/audio_1.wav,
repot lai nanti.,will be busy again.,0:07:25,audio/audio_1.wav,
e lu anak perempuan sendiri?,are you the only one daughter?,0:07:26,audio/audio_1.wav,
e sonde ju.,not really.,0:07:27,audio/audio_1.wav,
ko abis.,well.,0:07:28,audio/audio_1.wav,
kotong perempuan ampat orang na.,we are four daughters.,0:07:30,audio/audio_1.wav,
laki-laki hanya satu orang.,only one son.,0:07:31,audio/audio_1.wav,
bosong berapa bersodara?,how many sibling do you have?,0:07:32,audio/audio_1.wav,
"we, kotong ada lima orang.",we are five person.,0:07:33,audio/audio_1.wav,
hmm.,hmm.,0:07:34,audio/audio_1.wav,
makanya itu su .,so that’s why.,0:07:35,audio/audio_1.wav,
laki-laki satu orang.,just one son.,0:07:36,audio/audio_1.wav,
mama tua telalu manja.,the woman very spoiled (her son).,0:07:37,audio/audio_1.wav,
jadi.,so.,0:07:38,audio/audio_1.wav,
yah.,yah.,0:07:39,audio/audio_1.wav,
o pantas,"yeah,of course.",0:07:40,audio/audio_1.wav,
mengerti sa.,you know that.,0:07:41,audio/audio_1.wav,
ko abis.,because.,0:07:41,audio/audio_1.wav,
dia yang mau bilang minta apa sa.,he asked whatever.,0:07:43,audio/audio_1.wav,
ikut sa.,just follow.,0:07:44,audio/audio_1.wav,
jadi sekarang su besar ju.,so now (he is) already grow up.,0:07:46,audio/audio_1.wav,
mmm.,mmm.,0:07:47,audio/audio_1.wav,
bapa tua ju besar kepala deng ketong.,he didn’t care of us.,0:07:49,audio/audio_1.wav,
omong son dengar lai.,not hear to what we say.,0:07:50,audio/audio_1.wav,
lu anak ke berapa?,what child number you are?,0:07:51,audio/audio_1.wav,
be anak ke tiga.,I’m the third.,0:07:52,audio/audio_1.wav,
oo.,oo.,0:07:53,audio/audio_1.wav,
ma son apa-apa ju.,but it doesn’t matter.,0:07:54,audio/audio_1.wav,
istilahnya.,it means that.,0:07:56,audio/audio_1.wav,
sekarang su ringan.,now is already lightweight.,0:07:57,audio/audio_1.wav,
ko abis.,because.,0:07:57,audio/audio_1.wav,
be pung kaka nomor dua ju su kerja to.,my sister (that the second one) is also already get the job.,0:07:59,audio/audio_1.wav,
oo.,oo.,0:08:00,audio/audio_1.wav,
jadi aman sa.,so just relax.,0:08:01,audio/audio_1.wav,
o dua orang su abis.,two of your (sister) already finished.,0:08:02,audio/audio_1.wav,
ya paling yang kulia sekarang tinggal beta.,now just me who study in university.,0:08:04,audio/audio_1.wav,
be pung ade laki-laki.,my younger brother.,0:08:06,audio/audio_1.wav,
tamat SMA taon lalu.,graduated from Senior High School last year.,0:08:08,audio/audio_1.wav,
son mau lanjut.,he didn’t want to cotinue (his study).,0:08:09,audio/audio_1.wav,
ko kenapa?,why?,0:08:10,audio/audio_1.wav,
tau dia iku dia pung kawan-kawan dong.,I don’t know (but I think) he just follow his friends.,0:08:12,audio/audio_1.wav,
e nanti baru...,then...,0:08:14,audio/audio_1.wav,
ma tau sekarang dia su foe...,but now he is like crazy...,0:08:15,audio/audio_1.wav,
foe ko...,crazy to...,0:08:16,audio/audio_1.wav,
omong deng mama tua bilang.,speak to the woman.,0:08:17,audio/audio_1.wav,
ini ‘Ma e.,‘mom.,0:08:18,audio/audio_1.wav,
ini taon be kulia su ko?’,can I go to the University this year?’,0:08:19,audio/audio_1.wav,
jadi mama tua kasi tau di kotong.,so the woman told us.,0:08:20,audio/audio_1.wav,
kotong bilang.,we said.,0:08:21,audio/audio_1.wav,
‘o bae su.,‘ ok that’s right.,0:08:23,audio/audio_1.wav,
na dia su sadar na su mau kuliah’.,he is already aware of going to the university’.,0:08:25,audio/audio_1.wav,
o itu bagitu nanti...,o if it so then..,0:08:26,audio/audio_1.wav,
baru...,then...,0:08:26,audio/audio_1.wav,
manyasal ke belakang to.,regret latter.,0:08:28,audio/audio_1.wav,
ma tau ini taon dia jadi kulia ko sonde.,but (I don’t know )does he will study this year or not.,0:08:30,audio/audio_1.wav,
perempuan yang kici yang paling kecil.,and my youngest sister.,0:08:32,audio/audio_1.wav,
SMA klas dua to.,on the 2nd grade of Senior High School.,0:08:34,audio/audio_1.wav,
dia paling taon depan baru kulia.,and maybe next year she will go to the unversity.,0:08:36,audio/audio_1.wav,
oo.,oo.,0:08:38,audio/audio_1.wav,
hi.,hi.,0:08:40,audio/audio_1.wav,
asli...,original...,0:08:41,audio/audio_1.wav,
kotong rumah jau begini ni.,our house is so far.,0:08:42,audio/audio_1.wav,
Undana Penfui.,Undana Penfui.,0:08:43,audio/audio_1.wav,
ini Sikumana Penfui.,from Sikumana to Penfui.,0:08:44,audio/audio_1.wav,
bagitu jau tu.,so far.,0:08:46,audio/audio_1.wav,
aduh!,ouch!,0:08:47,audio/audio_1.wav,
kalo bagitu.,if so,0:08:48,audio/audio_1.wav,
nanti lu naek bemo turun di halte a?,"you go up with bemo and then arrive in halte, isn’t it?",0:08:50,audio/audio_1.wav,
o e.,yes.,0:08:51,audio/audio_1.wav,
di halte su ma.,"ya, at halte",0:08:52,audio/audio_1.wav,
mau di mana lai?,where do (we have to get off)?,0:08:53,audio/audio_1.wav,
ko oto di situ sa na.,because the mini.bus only stop there,0:08:54,audio/audio_1.wav,
na bilang bosong pung kampus FKIP tu.,"said that your campus ,FKIP.",0:08:55,audio/audio_1.wav,
ini...,this...,0:08:56,audio/audio_1.wav,
Damri sonde putar iko sana ko?,is Damri not passing through there?,0:08:58,audio/audio_1.wav,
ih sonde lai.,no more.,0:09:00,audio/audio_1.wav,
jadi bosong turun di itu tikungan itu to?,"so, you get off on that bend?",0:09:02,audio/audio_1.wav,
ho.,yes,0:09:03,audio/audio_1.wav,
tu turun di.,get off at..,0:09:04,audio/audio_1.wav,
simpang tiga situ tu.,at the crossroad over there.,0:09:06,audio/audio_1.wav,
turun di situ.,get off there,0:09:07,audio/audio_1.wav,
baru.,then,0:09:08,audio/audio_1.wav,
jalan kaki naek pi atas.,walk uphill.,0:09:09,audio/audio_1.wav,
ya...,yes.,0:09:10,audio/audio_1.wav,
m mendaki lai.,and go up again.,0:09:11,audio/audio_1.wav,
