mkn_segment_sentence,eng_segment_sentence,start,wav_files,audio_segment_path
mujur-mujur dapa liat.,"luckily, (we) can see",0:09:12,audio/audio_1.wav,
kawan deng motor.,our friends by motorcycle,0:09:13,audio/audio_1.wav,
nebeng.,follow (him),0:09:14,audio/audio_1.wav,
bilang kampus paleng sengsara.,said that it is unfortunate campus.,0:09:16,audio/audio_1.wav,
MIPA a.,"MIPA, right?",0:09:17,audio/audio_1.wav,
,,,audio/audio_1.wav,
tadi kaka nonton ini Go.Spot ko sonde?,did you watch go spot this morning?,0:00:02,audio/audio_1.wav,
"ih, sonde.",no.,0:00:04,audio/audio_1.wav,
kotong pung listrik di sana mati terus.,our electricity was always off.,0:00:05,audio/audio_1.wav,
sumpah ni.,wow.,0:00:07,audio/audio_1.wav,
Oesapa kenapa tu...,why is in Oesapa...,0:00:07,audio/audio_1.wav,
ko listrik su mati terus.,the electricity always off?,0:00:08,audio/audio_1.wav,
e be nonton.,hmm I watched (tv),0:00:09,audio/audio_1.wav,
awih.,oh.,0:00:10,audio/audio_1.wav,
ada ini.,it is said.,0:00:11,audio/audio_1.wav,
bilang ini.,that.,0:00:12,audio/audio_1.wav,
Slank ada kena ni...,Slank was...,0:00:13,audio/audio_1.wav,
apa ini dari anggota dewan dong a?,is this by the legislatives?,0:00:15,audio/audio_1.wav,
ho e ko abis dia pung.,"yes, that’s beacuse.",0:00:17,audio/audio_1.wav,
lirik lagu tu kan.,their song’s lyrics.,0:00:18,audio/audio_1.wav,
menyudutkan anggota dewan to.,make the parlements.,0:00:20,audio/audio_1.wav,
xx tapi tau lai.,but I don’t know.,0:00:20,audio/audio_1.wav,
ko abis.,because.,0:00:22,audio/audio_1.wav,
anggota dewan selama ini tidor ko?,did the parlements sleep along the day?,0:00:24,audio/audio_1.wav,
ko abis.,because.,0:00:25,audio/audio_1.wav,
su begini lama ni.,this has been too long.,0:00:26,audio/audio_1.wav,
itu lagu su dari beberapa taon lalu xx.,that song has been composed several years ago.,0:00:27,audio/audio_1.wav,
ih be son suka anggota dewan dong.,hmm I don’t like the parlements.,0:00:29,audio/audio_1.wav,
talalu ba’iu mati.,they are realy behave.,0:00:30,audio/audio_1.wav,
model ke apa ko.,(they are) like ...,0:00:32,audio/audio_1.wav,
xx.,xx,0:00:32,audio/audio_1.wav,
sonde tau ju o.,I don’t know.,0:00:33,audio/audio_1.wav,
ko abis.,because.,0:00:33,audio/audio_1.wav,
klo dong tersinggung berarti dong bikin ju a?,"if they are offended, they do it too, aren’t they?",0:00:35,audio/audio_1.wav,
ho,yes.,0:00:35,audio/audio_1.wav,
ko itu kan hanya yang untuk orang tertentu sa to?,"because it is just for certain people, right?",0:00:37,audio/audio_1.wav,
yang betul-betul korupsi...,who really committed to coruption.,0:00:39,audio/audio_1.wav,
kalo sonde na sonde to?,"and if not, (they) don’t, do they?",0:00:40,audio/audio_1.wav,
"sonde, ko abis.","not, because",0:00:41,audio/audio_1.wav,
ini.,hm.,0:00:41,audio/audio_1.wav,
nonton dapat yang Ungu ko sonde?,did you watch (the news) about Ungu or not?,0:00:43,audio/audio_1.wav,
Ungu pi umroh.,they were go to umroh.,0:00:45,audio/audio_1.wav,
be sonde dapat.,I didn’t watch it.,0:00:46,audio/audio_1.wav,
soalnya be sonde telalu dengar bae-bae...,and I didn’t listen it carefully.,0:00:48,audio/audio_1.wav,
ko abis.,because.,0:00:49,audio/audio_1.wav,
be tadi pagi mau datang sini to.,"this morning, I would come here.",0:00:51,audio/audio_1.wav,
jadi...,so...,0:00:51,audio/audio_1.wav,
buru-buru.,really in hurry.,0:00:53,audio/audio_1.wav,
beta sampe Slank sa ju.,I just (watched it) until the (news) about Slank.,0:00:54,audio/audio_1.wav,
kotong pung listrik mati de.,the electricity in my place was off.,0:00:55,audio/audio_1.wav,
be son nonton lai.,I didn’t watch it anymore.,0:00:56,audio/audio_1.wav,
aih... sumpah ni.,hmm.,0:00:57,audio/audio_1.wav,
su mati dari kapan?,when was it off?,0:01:00,audio/audio_1.wav,
mati dari yang Go.Spot tu sampe be datang tu...,it was off when I watch Go Spot and until I came here...,0:01:00,audio/audio_1.wav,
sonde tau menyala-menyala.,(the electricity) was still not working,0:01:03,audio/audio_1.wav,
adih xx,wow.xx,0:01:06,audio/audio_1.wav,
lia do?,can you see it?,0:01:07,audio/audio_1.wav,
kotong di Oesapa ni heran mati terus.,"(I) wonder, (the electricity) in Oesapa is always off.",0:01:08,audio/audio_1.wav,
ma <orang> di bagian dalam kota sini sonde mati.,but (the electricity) downtown is not always off,0:01:11,audio/audio_1.wav,
e sonde.,hm no.,0:01:12,audio/audio_1.wav,
kotong di sini giliran.,in these town always get time for off.,0:01:13,audio/audio_1.wav,
ke kotong baru-baru di Sikumana tu mati na.,"as our place, in Sikumana (the electricity) was off the other day",0:01:14,audio/audio_1.wav,
hari...,on...,0:01:16,audio/audio_1.wav,
Senin.,Monday.,0:01:17,audio/audio_1.wav,
o Senin tu kotong mati lampu.,our electricity was off on Monday,0:01:18,audio/audio_1.wav,
ko yang hari Minggu beta datang sini.,and when I came here on Sunday,0:01:21,audio/audio_1.wav,
datang mo ambel bahan kuliah.,came to take the lecture material.,0:01:22,audio/audio_1.wav,
di Pa sini.,at Mr.Jhon’s place,0:01:24,audio/audio_1.wav,
Pa pung listrik ju mati.,"the electricity at his (place) was off, too.",0:01:24,audio/audio_1.wav,
hari minggu.,on Sunday.,0:01:26,audio/audio_1.wav,
jadi hari minggu bagian sini...,"so on Sunday, it was off here.",0:01:27,audio/audio_1.wav,
Tofa.,Tofa.,0:01:28,audio/audio_1.wav,
habis.,and then.,0:01:30,audio/audio_1.wav,
Senin tu kotong dari atas.,on Monday when we came (the electricity was off),0:01:30,audio/audio_1.wav,
itu hari bagiliran.,"that time, it was in turn",0:01:31,audio/audio_1.wav,
ma tau.,but I didn’t know why.,0:01:32,audio/audio_1.wav,
sekarang maen mati terus tiap hari tu pasti.,"now it is always off, every day it is certainly so .",0:01:34,audio/audio_1.wav,
jam sekitar...,it was about...,0:01:35,audio/audio_1.wav,
jam.,at.,0:01:37,audio/audio_1.wav,
pagi tu sekitar jam delapan lewat.,about 08.00 in the morning.,0:01:38,audio/audio_1.wav,
nanti son lama dia menyala lai.,and latter it was on again.,0:01:42,audio/audio_1.wav,
abis itu malam ju bagitu.,and that night was also so.,0:01:42,audio/audio_1.wav,
malam ju nanti.,later at night,0:01:44,audio/audio_1.wav,
jam enam tu dia mati.,at 06.00 the electricity was off.,0:01:46,audio/audio_1.wav,
jam sembilan baru dia menyala.,and then at 09.00 p.m it was on,0:01:48,audio/audio_1.wav,
adiii kaka.,oh yeah.,0:01:50,audio/audio_1.wav,
su dua hari ni kan.,it has been two days.,0:01:51,audio/audio_1.wav,
beta de Nur terus to.,I was with Nur.,0:01:52,audio/audio_1.wav,
jadi.,because.,0:01:53,audio/audio_1.wav,
be kan son bisa bawa motor.,I couldn’t ride the motorcycle.,0:01:54,audio/audio_1.wav,
be pung kaka kan ada.,my sister was in.,0:01:55,audio/audio_1.wav,
dia dapat proyek.,she got a project.,0:01:55,audio/audio_1.wav,
maksudnya kerja di LSM to,I mean (she) is working in NGO.,0:01:56,audio/audio_1.wav,
jadi su dua hari ni.,so for these two days.,0:02:00,audio/audio_1.wav,
pi kantor terus tanda tangan kontrak.,(she) always went to office to sign the agreement.,0:02:01,audio/audio_1.wav,
jadi dia yang pake motor.,so she was drive the motorcycle.,0:02:03,audio/audio_1.wav,
jadi kamaren deng kemaren dulu beta kan di Nur to.,yesterday and the day before yesterday I was with Nur.,0:02:08,audio/audio_1.wav,
beta tunggu dia di Glory.,I waited for her at Glory,0:02:10,audio/audio_1.wav,
be bawa be pung helem sendiri.,I brought my own helmet.,0:02:10,audio/audio_1.wav,
na jadi yang kemarin ni.,so yesterday...,0:02:12,audio/audio_1.wav,
tukang mas ni.,the gold smith,0:02:14,audio/audio_1.wav,
eh kan.,that.,0:02:16,audio/audio_1.wav,
di samping apotik tu kan pegadaian to.,beside the pharmacy there is a pawning service,0:02:17,audio/audio_1.wav,
hoo.,yeah.,0:02:20,audio/audio_1.wav,
na biasa ni kan.,"well, usually",0:02:22,audio/audio_1.wav,
di pegadaian-pegadaian tu kan.,in pawning service,0:02:22,audio/audio_1.wav,
ada...,there is ...,0:02:22,audio/audio_1.wav,
apa su dia pung nama?,what is it called?,0:02:23,audio/audio_1.wav,
ini...,hmm...,0:02:25,audio/audio_1.wav,
0.,0,0:02:27,audio/audio_1.wav,
apa su di pung nama?,what is it called?,0:02:27,audio/audio_1.wav,
apa?,what?,0:02:27,audio/audio_1.wav,
ko lu ju pikir-pikir dari tadi.,you think about it for so long.,0:02:30,audio/audio_1.wav,
ihh!,hmm.,0:02:30,audio/audio_1.wav,
tanta-tanta ni.,some women.,0:02:30,audio/audio_1.wav,
yang tunggu orang mau pi gade barang tu.,who wait for the people pawning their goods.,0:02:32,audio/audio_1.wav,
oo be tau.,yeah I see.,0:02:34,audio/audio_1.wav,
be ju bangun jalan xxx.,then I left,0:02:36,audio/audio_1.wav,
ini tanta su lia deng beta.,the woman looked at me.,0:02:38,audio/audio_1.wav,
be pikir dia lia apa?,I thought what she looked at,0:02:38,audio/audio_1.wav,
be pung sampe di depan Glory ni.,when I arrived at the front of the Glory.,0:02:41,audio/audio_1.wav,
dia datang ikut deng beta o.,she came to me.,0:02:42,audio/audio_1.wav,
be pikir ni tanta su kenapa ni datang ikut beta?,I was thinking of why the woman came to me?,0:02:43,audio/audio_1.wav,
dia datang.,she came.,0:02:46,audio/audio_1.wav,
ju bilang begini di beta.,and said to me.,0:02:48,audio/audio_1.wav,
"nona jual mas, ko?",did you sell your gold?,0:02:50,audio/audio_1.wav,
ya ampun.,oh my God.,0:02:51,audio/audio_1.wav,
0.,0.,0:02:51,audio/audio_1.wav,
ih sonde tanta.,no.,0:02:52,audio/audio_1.wav,
be son jual mas.,I didn’t sell gold.,0:02:54,audio/audio_1.wav,
sampe beta ni xx.,then I xx.,0:02:54,audio/audio_1.wav,
beta.,I was.,0:02:55,audio/audio_1.wav,
jalan deng Nur.,with Nur.,0:02:55,audio/audio_1.wav,
Nur datang,Nur came.,0:02:57,audio/audio_1.wav,
be bilang deng Nur.,and I said to Nur.,0:03:00,audio/audio_1.wav,
we Nur.,Nur.,0:03:01,audio/audio_1.wav,
"be pung tampang ke orang jual mas, ko?",am I like the people selling gold?,0:03:02,audio/audio_1.wav,
xx.,xx.,0:03:03,audio/audio_1.wav,
terus.,then.,0:03:04,audio/audio_1.wav,
trus.,and then.,0:03:06,audio/audio_1.wav,
tadi pagi lai ni.,and this morning.,0:03:07,audio/audio_1.wav,
be turun di situ.,I arrived there.,0:03:08,audio/audio_1.wav,
be baru turun menyebrang.,and when I cross the street.,0:03:10,audio/audio_1.wav,
itu tanta su bilang begini.,the woman said.,0:03:11,audio/audio_1.wav,
‘aih ini nona yang kemaren ni’.,‘this is the girl (that I met) yesterday’.,0:03:12,audio/audio_1.wav,
"‘nona jual mas, ko?’",‘do you sell gold?’.,0:03:13,audio/audio_1.wav,
he.,hmm.,0:03:14,audio/audio_1.wav,
ulang lai?,did (she say it) again?,0:03:16,audio/audio_1.wav,
be bilang ‘tanta sonde’.,and I said ‘no.,0:03:16,audio/audio_1.wav,
tanta be son jual mas.,‘I don’t sell gold’.,0:03:16,audio/audio_1.wav,
jadi be berdiri diam-diam su di situ.,so I just stand and silent there.,0:03:16,audio/audio_1.wav,
be dalam hati.,and I think.,0:03:16,audio/audio_1.wav,
nenek moyang ni.,oh my god.,0:03:17,audio/audio_1.wav,
lu pikir be ada jual mas di sini?,‘do you think that I am selling gold here?’,0:03:19,audio/audio_1.wav,
be jengkel mati.,I was annoying,0:03:19,audio/audio_1.wav,
tau kenapa dong tunggu-tunggu begitu.,I din’t know why they always wait like that.,0:03:22,audio/audio_1.wav,
mungkin dong tunggu supaya dong yang dapat...,maybe they wait so that they can get...,0:03:24,audio/audio_1.wav,
ini.,hmm.,0:03:31,audio/audio_1.wav,
ke orang bilang...,like what people call...,0:03:32,audio/audio_1.wav,
istilah ‘calo’ tu.,the term ‘calo’.,0:03:33,audio/audio_1.wav,
ih be sonde tau.,maybe.,0:03:35,audio/audio_1.wav,
bisa sa begitu.,it can be so,0:03:35,audio/audio_1.wav,
mungkin karena itu ju kaka.,"perhaps because of that, friend",0:03:36,audio/audio_1.wav,
ini sekarang.,that now,0:03:38,audio/audio_1.wav,
be pung kawan dong bilang.,my friends said.,0:03:39,audio/audio_1.wav,
ini...,mmm...,0:03:41,audio/audio_1.wav,
mas kan nae harga to.,"gold’s price is increasing, right?",0:03:42,audio/audio_1.wav,
jadi...,and...,0:03:43,audio/audio_1.wav,
na trus bilang,they said again that.,0:03:44,audio/audio_1.wav,
mas yang dong jual yang sekarang yang baru ni.,the gold that they sell nowdays is.,0:03:45,audio/audio_1.wav,
bilangnya...,(they) said...,0:03:48,audio/audio_1.wav,
dia pung kadar mas tu,its quality is...,0:03:49,audio/audio_1.wav,
su kurang.,already decreasing.,0:03:51,audio/audio_1.wav,
ke sonde sama...,(it is) not the same as ...,0:03:52,audio/audio_1.wav,
son sama ke yang dulu lai.,not the same as the gold in old days.,0:03:53,audio/audio_1.wav,
kaya yang mas-mas dulu dong.,as the gold in old times.,0:03:53,audio/audio_1.wav,
jadi dong ke tanya.,so they asked.,0:03:55,audio/audio_1.wav,
cegat-cegat memang orang sebelum masuk pegadaian tu.,the people before they came in to the pawnshop.,0:03:57,audio/audio_1.wav,
supaya itu barang mas.,so that the gold ...,0:04:00,audio/audio_1.wav,
jatoh di dorang.,goes to them,0:04:02,audio/audio_1.wav,
kan kalo bagitu kan.,so if it is so,0:04:03,audio/audio_1.wav,
ke buang putus su to.,to pay cash.,0:04:06,audio/audio_1.wav,
hmm.,hmm.,0:04:07,audio/audio_1.wav,
buang putus jadi ke nanti itu orang sonde bisa tebus dia pung barang lai.,pay cash that later people cannot pay back their gold anymore.,0:04:07,audio/audio_1.wav,
ko abis dong su ame to.,because they have bought it,0:04:11,audio/audio_1.wav,
ma ame ju dong...,but even though they bought it...,0:04:13,audio/audio_1.wav,
ame deng harga di bawa harga toko.,bought below the standard price,0:04:15,audio/audio_1.wav,
na orang son tau.,but people don’t know that.,0:04:18,audio/audio_1.wav,
orang pikir sa...,people just think that...,0:04:19,audio/audio_1.wav,
dong butu doi ada yang kasi doi.,"they need money, and someone gives (them) money.",0:04:20,audio/audio_1.wav,
na jual lepas su.,just sell it.,0:04:22,audio/audio_1.wav,
son tau hal lai.,(they) don’t know.,0:04:23,audio/audio_1.wav,
dong biasa bagitu tu.,they usually do so.,0:04:24,audio/audio_1.wav,
dong te’e-te’e ini orang kampung dong.,they usually catch the laymen,0:04:26,audio/audio_1.wav,
yang son tau-tau betul begitu.,that don’t know anything about it.,0:04:28,audio/audio_1.wav,
itu su.,that’s it.,0:04:30,audio/audio_1.wav,
ko abis.,because,0:04:30,audio/audio_1.wav,
biasa sa be biasa lewat klo pi kampus tu.,I usually pass through (that place) when going to campus.,0:04:32,audio/audio_1.wav,
ada tanta-tanta satu badan besar e.,there is a fat woman.,0:04:33,audio/audio_1.wav,
dia pung badan pung besar.,she has fat body,0:04:35,audio/audio_1.wav,
yang.,that,0:04:36,audio/audio_1.wav,
yang tepa sa lu tu orang mana?,where does the woman who catch you come from?,0:04:38,audio/audio_1.wav,
e sonde tau.,hmm I don’t know.,0:04:38,audio/audio_1.wav,
tanta satu e.,a woman.,0:04:40,audio/audio_1.wav,
dia pung rambut...,her hair...,0:04:41,audio/audio_1.wav,
dia pung badan kici ko besar?,is she thin or fat?,0:04:42,audio/audio_1.wav,
e badan ju lumayan.,hmm she is a bit fat.,0:04:43,audio/audio_1.wav,
dia pung badan xx we...,her body xx ...,0:04:44,audio/audio_1.wav,
gaya abis.,stylish,0:04:45,audio/audio_1.wav,
ada duduk sa...,and just sit...,0:04:46,audio/audio_1.wav,
ada lai maen duduk di pinggir pegadaian situ.,just sit beside the pawnshop.,0:04:48,audio/audio_1.wav,
tinggal tunggu orang yang datang dan pergi.,just wait for the people come and go,0:04:50,audio/audio_1.wav,
tapi...,but...,0:04:51,audio/audio_1.wav,
tau be baru dapa liat itu tanta.,I’ve just seen the woman.,0:04:53,audio/audio_1.wav,
tanta yang satu biasa dapat lia tu.,the woman who I always saw.,0:04:55,audio/audio_1.wav,
biasa dia duduk depan...,she usually sit in the front of...,0:04:56,audio/audio_1.wav,
dekat-dekat pintu pegadaian situ.,near the pawnshop door.,0:04:58,audio/audio_1.wav,
dia duduk situ...,she sat there...,0:05:00,audio/audio_1.wav,
baru.,then.,0:05:01,audio/audio_1.wav,
dia mungkin tunggu orang di situ sa.,perhaps she just wait for people there.,0:05:03,audio/audio_1.wav,
son sama ke ni tanta yang satu ni.,not as the woman.,0:05:05,audio/audio_1.wav,
orang pung datang dia su lari kajar tu orang.,when people come she runs to chase them.,0:05:07,audio/audio_1.wav,
ma ini tanta yang be biasa liat ni...,but the woman that I always see...,0:05:09,audio/audio_1.wav,
dia pung gantong barang mas di dia pung badan pung banyak.,she hang up many gold acsessories on her body,0:05:11,audio/audio_1.wav,
kira-kira ini...,(I) guess this...,0:05:12,audio/audio_1.wav,
tau itu yang berapa gram be su son tau lai.,I don’t know how many grams that she wear.,0:05:13,audio/audio_1.wav,
ma semua-semua lengkap abis.,but it is complete.,0:05:15,audio/audio_1.wav,
kira-kira ini...,(I) guess this ...,0:05:17,audio/audio_1.wav,
dong bikin begitu tu.,they do so.,0:05:19,audio/audio_1.wav,
itu pegawai.,and the employee.,0:05:21,audio/audio_1.wav,
"pokoknya karyawan pegadaian dong deng dia pung kepala dong, tau ko sonde?","basically the pawnshop staff and their leaders, do you know?",0:05:25,audio/audio_1.wav,
e pasti dong tau kan.,"of course they know, right?",0:05:27,audio/audio_1.wav,
paling kan..,mostly,0:05:28,audio/audio_1.wav,
beta ju rasa ke ada kerjasama.,I also think that there is a cooperation.,0:05:30,audio/audio_1.wav,
ih be sonde tau.,hmm I don’t know.,0:05:32,audio/audio_1.wav,
paling kan.,mostly.,0:05:33,audio/audio_1.wav,
tegantung to.,it is depend on.,0:05:34,audio/audio_1.wav,
dia pung.,it’s.,0:05:35,audio/audio_1.wav,
maksudnya...,hmm I mean...,0:05:36,audio/audio_1.wav,
dari tu orang sendiri.,the person him/herself,0:05:37,audio/audio_1.wav,
kalo memang dia mau jual di...,if s/he indeed wants to sell the gold to...,0:05:39,audio/audio_1.wav,
"itu orang yang di luar, ya","the person outside, ya",0:05:41,audio/audio_1.wav,
terserah dia.,hmm it’s depend on him/her,0:05:42,audio/audio_1.wav,
kalo memang dia betul-betul butu uang dan mungkin.,if s/he really needs money and perhaps.,0:05:44,audio/audio_1.wav,
dalam waktu yang su ditentukan dia su sonde bisa...,"at certain times, s/he can’t...",0:05:46,audio/audio_1.wav,
pi tebus na.,pay it back.,0:05:47,audio/audio_1.wav,
berarti...,it means that...,0:05:49,audio/audio_1.wav,
lepas su to dia kasi di itu orang su to.,let she gives it to that person.,0:05:51,audio/audio_1.wav,
ya.,yes.,0:05:52,audio/audio_1.wav,
kira-kira dia tau dari mana o?,how does she know that?,0:05:54,audio/audio_1.wav,
ini apa...,what is it ...,0:05:55,audio/audio_1.wav,
ini mas ini ini mas.,this gold is.,0:05:57,audio/audio_1.wav,
dia punya kadar masih tinggi ko su lemah?.,does the gold still have good quality or not ?,0:05:59,audio/audio_1.wav,
sonde ju.,not really.,0:06:01,audio/audio_1.wav,
ko abis.,but.,0:06:03,audio/audio_1.wav,
ini.,this.,0:06:04,audio/audio_1.wav,
apa na.,what is it.,0:06:05,audio/audio_1.wav,
kan harga mas su nae na.,as the price of the gold already increased.,0:06:07,audio/audio_1.wav,
orang.,people,0:06:08,audio/audio_1.wav,
mungkin.,maybe.,0:06:10,audio/audio_1.wav,
be ju son tau e.,I don’t understand either.,0:06:12,audio/audio_1.wav,
ato mungkin memang itu orang dong tukang timbun emas,or maybe they are gold collector.,0:06:14,audio/audio_1.wav,
be ju onde tau.,I don’t know either.,0:06:15,audio/audio_1.wav,
ko abis.,but.,0:06:16,audio/audio_1.wav,
dong.,they.,0:06:17,audio/audio_1.wav,
tiap hari sa duduk jaga tu pegadaian ke kaya jaga apa ko...,(they) are just sitting in pawnshop everyday like ...,0:06:19,audio/audio_1.wav,
"ke sonde ada kerja laen lai, ko?.",isn’t there no other job?,0:06:21,audio/audio_1.wav,
0.,0.,0:06:24,audio/audio_1.wav,
tiap hari duduk jaga tu pegadaian.,everyday guarding that pawnshop.,0:06:25,audio/audio_1.wav,
"o mungkin itu sonde ada kerja, memang.",or maybe it is true that no other job.,0:06:26,audio/audio_1.wav,
o dia pung kerja jaga pegadaian tunggu-tunggu yang jual mas.,his job is guard the pawnshop and waiting for someone who sell the gold,0:06:29,audio/audio_1.wav,
"aih, parah mati!","wow, so bad!",0:06:31,audio/audio_1.wav,
e be su pamalas.,I am lazy already.,0:06:33,audio/audio_1.wav,
sampe be...,until I am...,0:06:34,audio/audio_1.wav,
aduh...,auch...,0:06:35,audio/audio_1.wav,
alamat besok-besok ni kalo bajanji deng orang jangan di depan Glory.,"next time, don’t make any appointment in front of Glory.",0:06:38,audio/audio_1.wav,
kalo pagi-pagi...,if early in the morning...,0:06:39,audio/audio_1.wav,
